geonameid,name,admin1,geom,cluster
4049608,Mayewood School,SC,0101000020CE130000BE22ACC3000A3641AC376DB054313441,-1
4049624,Benhaven High School,NC,0101000020CE1300003ECDE73E541E3741092989C3B1EB3641,-1
4049651,Big Ridge School (historical),AL,0101000020CE130000D60303C1C2932841F31EC87046A93241,-1
4049656,Indian Camp School,SC,0101000020CE13000099878D8C1C8235413C22E608BD523341,-1
4049691,Big Sandy School (historical),AL,0101000020CE130000ADC00AE825DC2741A9BA6F95FD763141,-1
4049704,Dillard Elementary School,NC,0101000020CE130000A9109BF9379A384192294EE539363741,0
4049761,Big Springs School (historical),AL,0101000020CE130000C290EA4809232E4166CEE221402A3241,-1
4049767,Big Spring Valley School (historical),AL,0101000020CE13000010AFAF1FE9B92A415DC78A57779A3341,-1
4049803,Big Zion School,AL,0101000020CE13000022D4C607EB762B419FFBE3E9E1043041,-1
4049841,Bill Stewart Activity Center,AL,0101000020CE1300008C46E70312382841341AB4AB94E63341,-1
4049849,Billingsley High School,AL,0101000020CE1300004160FC3D306B2A414E3DFFC8A9E63041,-1
4049935,Birch School (historical),AL,0101000020CE1300008793D73F1CA42D41D694DAE7CDBA2E41,-1
4049936,Township School,NC,0101000020CE130000ECCBDD055D213741C658D004F6D13641,-1
4049967,Birdine School (historical),AL,0101000020CE13000045F4017B5A302741D00EEC53D7B33041,-1
4049975,Birdine Junior High School,AL,0101000020CE130000F313327F7B3C2741632923BAC3AA3041,-1
4049978,Saint Stephens School,NJ,0101000020CE13000009C7B11E07D63A41CE14725A82A73F41,0
4049988,Big Bottom School (historical),OH,0101000020CE1300005986974B8D6D32415014895B355F3D41,-1
4049995,Birdsong School (historical),AL,0101000020CE130000D3E05F9A778F2C41F46EF98570533341,-1
4050017,Birmingham Southern College,AL,0101000020CE1300007E76931609B82941EB18B7048E543241,7
4050021,Birmingham University School,AL,0101000020CE1300002657C8A6E0F4294110BA11828D523241,7
4050052,Marianists College,OH,0101000020CE130000581B2E864FC62E416752B0FB11483D41,-1
4050065,Bishop School (historical),AL,0101000020CE130000573F0E301AD12941BA631241C4763441,-1
4050088,Saint Andrew School,OH,0101000020CE1300006986C55EE3822E415D88DE4B8B533C41,0
4050090,Saint Marys School,OH,0101000020CE1300000275C9A60FEA3041DE0CC540E8CF3C41,1
4050092,Sugar Grove School (historical),OH,0101000020CE13000073FA51C24B793241082E876F451D3E41,-1
4050102,Stowe School,OH,0101000020CE1300004263B06B64EE2D4156AC5B559A293C41,2
4050146,Linwood School,PA,0101000020CE130000933F6DDE336D3A41D20228685D5D3F41,2
4050180,Green School,PA,0101000020CE1300008B6C344411573A41C9BF7EC755633F41,-1
4050199,Black Creek School (historical),AL,0101000020CE1300003F9041C6CF322C41EF324F26BE983341,-1
4050200,Emerson School,OK,0101000020CE130000607332618E950AC1A84731D0B09D3341,2
4050201,Black Creek School (historical),AL,0101000020CE1300004DC5DAEF48FA28416AAA54C3589E3241,-1
4050213,Black Ground School (historical),AL,0101000020CE13000019113D3086CC27410682413877233441,-1
4050230,Elementary at Jones Academy,OK,0101000020CE13000071204E83DB56E540A1A6D014B70C3441,-1
4050239,Black Junior High School (historical),AL,0101000020CE130000DDBF68178EBC2D41D05CDB1481862C41,-1
4050253,Black Pond School (historical),AL,0101000020CE130000C48F5BA16F222841862E42AFB3303341,-1
4050299,Blackburn School (historical),AL,0101000020CE130000C195A173D0BD28413B4D8DAC9B783441,-1
4050316,Mount Spruce School (historical),PA,0101000020CE130000F44C54A73E9036412C3AE8F66AE23E41,-1
4050323,Blackman School (historical),AL,0101000020CE13000028F9744193BD2D4103EF331127042E41,-1
